date,borsa_istanbul,dolar_kuru,enflasyon,faiz
2023-11-11,2.0,23.857142857142858,3.0,18.857142857142858
2023-11-12,2.0,23.0,3.0,19.0
2023-11-13,2.0,23.142857142857142,3.0,21.0
2023-11-14,2.0,23.285714285714285,3.0,23.0
2023-11-15,2.0,23.428571428571427,3.0,25.0
2023-11-16,2.0,23.571428571428573,3.0,27.0
2023-11-17,2.0,23.714285714285715,3.0,29.0
2023-11-18,2.0,23.857142857142858,3.0,31.0
2023-11-19,2.0,24.0,3.0,33.0
2023-11-20,2.0,23.714285714285715,3.142857142857143,31.571428571428573
2023-11-21,2.0,23.428571428571427,3.2857142857142856,30.142857142857142
2023-11-22,2.0,23.142857142857142,3.4285714285714284,28.714285714285715
2023-11-23,2.0,22.857142857142858,3.571428571428571,27.285714285714285
2023-11-24,2.0,22.571428571428573,3.7142857142857144,25.857142857142858
2023-11-25,2.0,22.285714285714285,3.857142857142857,24.42857142857143
2023-11-26,2.0,22.0,4.0,23.0
2023-11-27,2.0,21.571428571428573,5.142857142857142,22.857142857142858
2023-11-28,2.0,21.142857142857142,6.285714285714286,22.714285714285715
2023-11-29,2.0,20.714285714285715,7.428571428571429,22.571428571428573
2023-11-30,2.0,20.285714285714285,8.571428571428571,22.428571428571427
2023-12-01,2.0,19.857142857142858,9.714285714285714,22.285714285714285
2023-12-02,2.0,19.42857142857143,10.857142857142858,22.142857142857142
2023-12-03,2.0,19.0,12.0,22.0
2023-12-04,2.0,19.285714285714285,10.714285714285714,22.857142857142858
2023-12-05,2.0,19.571428571428573,9.428571428571429,23.714285714285715
2023-12-06,2.0,19.857142857142858,8.142857142857142,24.57142857142857
2023-12-07,2.0,20.142857142857142,6.857142857142857,25.428571428571427
2023-12-08,2.0,20.428571428571427,5.571428571428571,26.285714285714285
2023-12-09,2.0,20.714285714285715,4.285714285714285,27.142857142857142
2023-12-10,2.0,21.0,3.0,28.0
2023-12-11,2.0,20.714285714285715,3.0,28.428571428571427
2023-12-12,2.0,20.428571428571427,3.0,28.857142857142858
2023-12-13,2.0,20.142857142857142,3.0,29.285714285714285
2023-12-14,2.0,19.857142857142858,3.0,29.714285714285715
2023-12-15,2.0,19.571428571428573,3.0,30.142857142857142
2023-12-16,2.0,19.285714285714285,3.0,30.57142857142857
2023-12-17,2.0,19.0,3.0,31.0
2023-12-18,2.0,19.428571428571427,3.2857142857142856,29.571428571428573
2023-12-19,2.0,19.857142857142858,3.571428571428571,28.142857142857142
2023-12-20,2.0,20.285714285714285,3.857142857142857,26.714285714285715
2023-12-21,2.0,20.714285714285715,4.142857142857142,25.285714285714285
2023-12-22,2.0,21.142857142857142,4.428571428571429,23.857142857142858
2023-12-23,2.0,21.57142857142857,4.714285714285714,22.42857142857143
2023-12-24,2.0,22.0,5.0,21.0
2023-12-25,2.0,21.714285714285715,6.714285714285714,20.857142857142858
2023-12-26,2.0,21.428571428571427,8.428571428571429,20.714285714285715
2023-12-27,2.0,21.142857142857142,10.142857142857142,20.571428571428573
2023-12-28,2.0,20.857142857142858,11.857142857142858,20.428571428571427
2023-12-29,2.0,20.571428571428573,13.571428571428571,20.285714285714285
2023-12-30,2.0,20.285714285714285,15.285714285714285,20.142857142857142
2023-12-31,2.0,20.0,17.0,20.0
2024-01-01,2.0,20.142857142857142,15.0,19.714285714285715
2024-01-02,2.0,20.285714285714285,13.0,19.428571428571427
2024-01-03,2.0,20.428571428571427,11.0,19.142857142857142
2024-01-04,2.0,20.571428571428573,9.0,18.857142857142858
2024-01-05,2.0,20.714285714285715,7.0,18.571428571428573
2024-01-06,2.0,20.857142857142858,5.0,18.285714285714285
2024-01-07,2.0,21.0,3.0,18.0
2024-01-08,2.0,20.571428571428573,3.0,18.0
2024-01-09,2.0,20.142857142857142,3.0,18.0
2024-01-10,2.0,19.714285714285715,3.0,18.0
2024-01-11,2.0,19.285714285714285,3.0,18.0
2024-01-12,2.0,18.857142857142858,3.0,18.0
2024-01-13,2.0,18.42857142857143,3.0,18.0
2024-01-14,2.0,18.0,3.0,18.0
2024-01-15,1.8571428571428572,17.857142857142858,3.0,19.0
2024-01-16,1.7142857142857144,17.714285714285715,3.0,20.0
2024-01-17,1.5714285714285714,17.571428571428573,3.0,21.0
2024-01-18,1.4285714285714286,17.428571428571427,3.0,22.0
2024-01-19,1.2857142857142858,17.285714285714285,3.0,23.0
2024-01-20,1.1428571428571428,17.142857142857142,3.0,24.0
2024-01-21,1.0,17.0,3.0,25.0
2024-01-22,1.0,16.571428571428573,3.142857142857143,24.285714285714285
2024-01-23,1.0,16.142857142857142,3.2857142857142856,23.571428571428573
2024-01-24,1.0,15.714285714285715,3.4285714285714284,22.857142857142858
2024-01-25,1.0,15.285714285714286,3.571428571428571,22.142857142857142
2024-01-26,1.0,14.857142857142858,3.7142857142857144,21.428571428571427
2024-01-27,1.0,14.428571428571429,3.857142857142857,20.714285714285715
2024-01-28,1.0,14.0,4.0,20.0
2024-01-29,1.1428571428571428,14.0,4.428571428571429,19.571428571428573
2024-01-30,1.2857142857142856,14.0,4.857142857142857,19.142857142857142
2024-01-31,1.4285714285714286,14.0,5.285714285714286,18.714285714285715
2024-02-01,1.5714285714285714,14.0,5.714285714285714,18.285714285714285
2024-02-02,1.7142857142857142,14.0,6.142857142857142,17.857142857142858
2024-02-03,1.8571428571428572,14.0,6.571428571428571,17.42857142857143
2024-02-04,2.0,14.0,7.0,17.0
2024-02-05,2.0,13.857142857142858,6.428571428571429,16.857142857142858
2024-02-06,2.0,13.714285714285714,5.857142857142858,16.714285714285715
2024-02-07,2.0,13.571428571428571,5.285714285714286,16.571428571428573
2024-02-08,2.0,13.428571428571429,4.714285714285714,16.428571428571427
2024-02-09,2.0,13.285714285714286,4.142857142857143,16.285714285714285
2024-02-10,2.0,13.142857142857142,3.5714285714285716,16.142857142857142
2024-02-11,2.0,13.0,3.0,16.0
2024-02-12,2.0,13.285714285714286,3.0,16.571428571428573
2024-02-13,2.0,13.571428571428571,3.0,17.142857142857142
2024-02-14,2.0,13.857142857142858,3.0,17.714285714285715
2024-02-15,2.0,14.142857142857142,3.0,18.285714285714285
2024-02-16,2.0,14.428571428571429,3.0,18.857142857142858
2024-02-17,2.0,14.714285714285714,3.0,19.428571428571427
2024-02-18,2.0,15.0,3.0,20.0
2024-02-19,2.0,15.0,3.142857142857143,19.428571428571427
2024-02-20,2.0,15.0,3.2857142857142856,18.857142857142858
2024-02-21,2.0,15.0,3.4285714285714284,18.285714285714285
2024-02-22,2.0,15.0,3.571428571428571,17.714285714285715
2024-02-23,2.0,15.0,3.7142857142857144,17.142857142857142
2024-02-24,2.0,15.0,3.857142857142857,16.571428571428573
2024-02-25,2.0,15.0,4.0,16.0
2024-02-26,2.0,15.571428571428571,4.714285714285714,15.857142857142858
2024-02-27,2.0,16.142857142857142,5.428571428571429,15.714285714285714
